iter,spr_simpath,spr_greedy
1,24.6395,24.625
2,26.4314,26.4072
3,27.2865,27.3162
4,27.952,27.9944
5,28.4735,28.491
6,28.903,28.9983
7,29.3199,29.3628
8,29.5842,29.6899
9,29.8662,29.9282
10,30.0429,30.1215
11,30.2006,30.2268
12,30.3103,30.3964
13,30.4564,30.4831
14,30.5823,30.6021
15,30.7294,30.6835
16,30.7153,30.7262
17,30.7807,30.8308
18,30.9436,30.8534
19,30.9869,30.8859
20,30.9525,30.9841
21,31.076,31.0172
22,31.1593,31.0527
23,31.0898,31.1099
24,31.1608,31.1298
25,31.2599,31.147
26,31.2476,31.202
27,31.2849,31.2559
28,31.3089,31.2593
29,31.2758,31.2684
30,31.2901,31.2887
31,31.3419,31.314
32,31.3758,31.3352
33,31.3899,31.3145
34,31.3928,31.3534
35,31.3211,31.3443
36,31.4063,31.3725
37,31.4323,31.4242
38,31.4719,31.4066
39,31.4907,31.4439
40,31.5137,31.4411
41,31.5113,31.4361
42,31.5115,31.5088
43,31.49,31.4743
44,31.5296,31.5006
45,31.5764,31.4892
46,31.5898,31.5166
47,31.5343,31.5507
48,31.5538,31.5399
49,31.5919,31.5721
50,31.6,31.6054
