Execution time  = 1921.957838 secs.
k spread
0 24.862300
1 27.462700
2 28.629800
3 29.166100
4 29.662900
5 30.156900
6 30.601600
7 31.011400
8 31.399400
9 31.773400
10 32.168500
11 32.458500
12 32.797100
13 33.093000
14 33.405900
15 33.605000
16 33.888600
17 34.173300
18 34.385800
19 34.620200
20 34.868300
21 35.080100
22 35.274700
23 35.522100
24 35.655500
25 35.853200
26 36.027400
27 36.223300
28 36.342800
29 36.561200
30 36.692900
31 36.886900
32 37.016100
33 37.192400
34 37.394700
35 37.503600
36 37.633500
37 37.774200
38 37.957200
39 38.095300
40 38.182200
41 38.339200
42 38.392900
43 38.580100
44 38.668900
45 38.722300
46 38.822200
47 38.881300
48 38.961900
49 39.015100
50 39.159100
The final spread value (MC calculated) = 39.087000
