Setup file: gnutella_greedy
group_number K I
10 50 10000
algo_name: g4579 4556 4472 4231 4130 4084 4053 4051 3797 3768 3672 3606 3604 3578 3557 3751 3417 1388 756 1153 1469 1026 789 3174 827 1816 313 1031 772 1529 3346 231 281 1150 1158 825 270 3114 1452 188 520 1622 620 199 754 1686 761 2835 322 1825 2694 1846 3347 1808 1975 1815 2149 4381 2544 3656 1819 2320 2153 1155 1823 2157 2158 2198 2830 863 2199 1199 2201 829 2833 3872 1033 2202 2834 3308 2204 2205 3607 2271 995 2832 2331 2256 2423 2545 2695 3605 432 766 2770 2819 2946 3107 904 3409 
Execution time  = 4269.835573 secs.
k spread
0 103.934300
1 106.287600
2 106.996800
3 107.682100
4 108.261400
5 108.708400
6 109.018600
7 109.362300
8 109.589100
9 109.931800
10 110.253300
11 110.576700
12 110.839200
13 111.148700
14 111.389900
15 111.627000
16 111.824100
17 112.119300
18 112.330100
19 112.569300
20 112.766200
21 112.995600
22 113.234400
23 113.463600
24 113.661500
25 113.848300
26 114.018600
27 114.200600
28 114.427600
29 114.542600
30 114.695800
31 114.812800
32 115.009700
33 115.184900
34 115.339500
35 115.509200
36 115.637100
37 115.781200
38 116.020600
39 116.073800
40 116.194200
41 116.342800
42 116.470800
43 116.545300
44 116.617900
45 116.745800
46 116.833500
47 116.921800
48 116.990200
49 117.100300
50 117.207200
The final spread value (MC calculated) = 117.137800
