Setup file: cit_simpath
group_number K I
35 50 10000
algo_name: simpath51 46 13 47 10 27 44 7 17 45 8 1 19 36 20 0 37 23 28 39 
Execution time  = 85881.584220 secs.
k spread
0 21.927931
1 25.680017
2 28.657995
3 30.601290
4 32.191707
5 33.512608
6 34.661626
7 35.686294
8 36.528121
9 37.256998
10 37.923899
11 38.449504
12 38.898910
13 39.323704
14 39.663785
15 39.966160
16 40.252051
17 40.520925
18 40.751947
19 40.968391
20 41.173378
21 41.367928
22 41.540524
23 41.690881
24 41.829760
25 41.963231
26 42.090892
27 42.214359
28 42.334504
29 42.449176
30 42.555061
31 42.655626
32 42.749899
33 42.836191
34 42.918885
35 42.998897
36 43.075958
37 43.147628
38 43.217867
39 43.284577
40 43.349155
41 43.411755
42 43.471243
43 43.529442
44 43.585986
45 43.641863
46 43.696131
47 43.749166
48 43.800578
49 43.851469
50 43.899759
The final spread value (MC calculated) = 31.605100
