Execution time  = 1339.115990 secs.
k spread
0 25.190990
1 28.040965
2 29.300974
3 29.900069
4 30.453864
5 30.992711
6 31.520641
7 32.024690
8 32.485072
9 32.924941
10 33.362728
11 33.876201
12 34.266085
13 34.696641
14 35.087521
15 35.449231
16 35.805587
17 36.150295
18 36.480029
19 36.772259
20 37.077516
21 37.352559
22 37.627988
23 37.911980
24 38.183797
25 38.458802
26 38.729160
27 38.992764
28 39.253869
29 39.502022
30 39.746954
31 39.984520
32 40.209536
33 40.436680
34 40.655302
35 40.873440
36 41.091190
37 41.309649
38 41.521444
39 41.724457
40 41.927115
41 42.129109
42 42.331019
43 42.537886
44 42.756674
45 42.958977
46 43.161180
47 43.364883
48 43.563725
49 43.757005
50 43.948433
The final spread value (MC calculated) = 38.942800
