Setup file: Ð:Œq'V
group_number K I
10 50 10000
algo_name: 0øžºÿ10299 8386 5862 5124 4676 516 306 10 525 1426 163 126 1164 2411 2445 1958 3795 2623 1629 2554 2850 
Execution time  = 1236.753913 secs.
k spread
0 25.162942
1 27.999196
2 29.246475
3 29.840451
4 30.385750
5 30.921773
6 31.445492
7 31.941177
8 32.391821
9 32.829382
10 33.260010
11 33.766123
12 34.149710
13 34.530008
14 34.941004
15 35.292813
16 35.645113
17 35.986003
18 36.306527
19 36.593671
20 36.894900
21 37.162983
22 37.434382
23 37.708652
24 37.972340
25 38.233536
26 38.491013
27 38.746535
28 38.999594
29 39.242164
30 39.471686
31 39.698506
32 39.917290
33 40.138259
34 40.353430
35 40.564246
36 40.774659
37 40.985940
38 41.183279
39 41.377912
40 41.571956
41 41.765865
42 41.958383
43 42.156968
44 42.358810
45 42.549494
46 42.738544
47 42.923138
48 43.108507
49 43.287831
50 43.460748
The final spread value (MC calculated) = 39.037900
