Setup file: gnutella_simpath
group_number K I
10 50 10000
algo_name: simpath4579 4556 4472 4231 4130 4084 4053 4051 3797 3768 3672 3606 3604 3578 3557 3751 3417 1388 756 1153 1469 1026 789 3174 827 1816 313 1031 772 1529 3346 231 281 1150 1158 825 270 3114 1452 188 520 1622 620 199 754 1686 761 2835 322 1825 2694 1846 3347 1808 1975 1815 2149 4381 2544 3656 1819 2320 2153 1155 1823 2157 2158 2198 2830 863 2199 1199 2201 829 2833 3872 1033 2202 2834 3308 2204 2205 3607 2271 995 2832 2331 2256 2423 2545 2695 3605 432 766 2770 2819 2946 3107 904 3409 
Execution time  = 1764.017399 secs.
k spread
0 104.152472
1 106.669627
2 107.482721
3 108.277547
4 108.999677
5 109.452053
6 109.896019
7 110.318085
8 110.729003
9 111.077411
10 111.406472
11 111.732257
12 112.042837
13 112.347713
14 112.643439
15 112.937244
16 113.227374
17 113.590395
18 113.879296
19 114.163042
20 114.445988
21 114.728294
22 115.010124
23 115.295224
24 115.560086
25 115.820410
26 116.075412
27 116.324567
28 116.564639
29 116.797251
30 117.030097
31 117.255373
32 117.481673
33 117.698328
34 117.912808
35 118.126586
36 118.340202
37 118.550066
38 118.763272
39 118.967442
40 119.168437
41 119.365814
42 119.562137
43 119.757348
44 119.950824
45 120.140989
46 120.326529
47 120.510858
48 120.692083
49 120.873580
50 121.050873
The final spread value (MC calculated) = 117.107000
