Namespace(data_dir='../data', edge_list='../data/vk_graph_lt.csv', log_file='../data/post_list.csv', skip_binary=True, tau=2592000, topic_features='../data/topic_features.npy', topic_features_input='../data/reduced_tf_idf.csv', topic_thr=0.034, user_features='../data/user_features.npy', user_features_input='../data/user_preferences.csv')
Read Graph
0 24
0 410
0 1362
0 520
0 2023
0 1142
0 1530
24 1876
24 981
24 1981
24 47
24 1630
24 197
24 2366
410 442
410 1595
410 1282
410 703
410 1283
410 1290
410 721
410 2295
410 731
410 441
410 1344
410 452
410 1396
410 1074
410 1702
410 2019
410 2045
410 1140
410 1681
410 2048
410 1799
410 1188
410 1190
410 2106
1362 1911
1362 1375
1362 1879
1362 1691
1362 2117
1362 1637
1362 2316
1362 1720
1362 2444
520 1433
520 1461
520 1486
520 1531
520 1173
520 1582
520 1630
520 1651
520 1666
520 1529
520 1548
520 550
520 1185
520 1783
520 585
520 1796
520 596
520 1812
520 643
520 1947
520 1927
520 742
520 2002
520 1780
520 2044
520 896
520 2162
520 1010
520 2299
520 2301
520 2359
520 2214
520 1176
520 1451
2023 2026
2023 2036
2023 2068
2023 2139
2023 2142
2023 2170
2023 2196
2023 2329
2023 2380
2023 2382
2023 2442
1142 1233
1142 1344
1142 1379
1142 1724
1142 1754
1142 1930
1142 1153
1142 2440
1530 1693
1 533
1 2064
1 131
1 473
533 1364
533 1404
533 1708
533 566
533 567
533 1804
533 1822
533 639
533 742
533 818
533 2069
533 2109
533 2110
533 2117
533 2203
533 2278
533 1089
533 1103
533 1552
533 1119
533 2364
533 741
533 2242
533 2223
533 2446
2064 2205
2064 2307
2064 2088
131 1296
131 1372
131 679
131 694
131 1891
131 1527
131 1664
131 505
131 533
131 1804
131 1831
131 1842
131 741
131 750
131 2451
131 2122
131 993
131 2262
131 1845
473 2053
473 1512
473 1552
473 1662
473 512
473 543
473 640
473 1842
473 1891
473 1920
473 1995
473 818
473 1169
473 2099
473 2005
473 2146
473 2229
473 2257
473 1103
473 1174
2 274
2 588
2 961
2 1541
2 964
2 1869
2 903
2 993
2 674
2 1021
2 428
2 116
2 119
2 2242
2 1574
2 1663
2 1664
2 631
2 2298
2 518
2 242
2 241
2 1785
2 2091
2 1653
2 276
2 1812
2 2122
2 1684
2 2434
2 1845
2 935
2 1527
274 285
274 321
274 354
274 374
274 381
274 382
274 410
274 439
274 543
274 577
274 624
274 636
274 650
274 713
274 717
274 718
274 724
274 783
274 805
274 825
274 840
274 844
274 881
274 904
274 917
274 940
274 957
274 1016
274 1037
274 1048
274 1052
274 1063
274 1081
274 1086
274 1117
274 1138
274 1180
274 1213
274 1215
274 1218
274 1316
274 1319
274 1405
274 1414
274 1431
274 1461
274 1479
274 1480
274 1546
274 1551
274 1569
274 1580
274 1589
274 1599
274 1607
274 1619
274 1671
274 1689
274 1775
274 1790
274 1802
